,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99,15.19,15.6,16.25,16.02,16.93
1,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99,15.19,15.6,16.25,16.02
2,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99,15.19,15.6,16.25
3,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99,15.19,15.6
4,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99,15.19
5,15.7,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93,16.99
6,15.95,15.7,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99,15.93
7,15.86,15.95,15.7,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88,14.99
8,15.45,15.86,15.95,15.7,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5,15.88
9,15.27,15.45,15.86,15.95,15.7,15.03,15.03,14.72,15.42,15.82,14.94,15.0,15.52,14.65,15.15,15.24,14.9,14.25,14.7,14.52,13.96,13.92,12.55,12.41,12.31,12.76,12.28,12.31,12.74,12.71,13.03,12.73,12.08,12.78,12.68,13.36,13.21,13.88,14.0,14.08,14.08,14.91,14.73,14.25,13.88,13.73,13.63,12.9,13.37,14.01,13.81,13.38,13.12,12.82,13.26,12.86,13.74,13.29,13.08,13.67,13.79,14.15,14.55,14.44,15.37,14.91,15.2,14.66,14.69,14.13,14.18,14.23,14.07,14.34,14.44,14.26,15.26,15.64,14.59,14.75,14.01,14.27,14.3,13.94,13.29,12.77,13.66,13.28,12.56,13.8,13.97,13.13,13.56,13.11,12.23,12.49,13.11,13.0,13.32,14.43,13.52,13.93,14.35,14.63,13.87,15.06,16.26,15.64,16.030001,16.17,14.94,15.86,14.25,14.28,14.51,14.58,15.25,16.040001,15.5
